,longitude,latitude,name,category
0,4.819023,45.740604,Hôtel de Région – Montrochet,arret_tram_T2
1,4.822116,45.744213,Sainte-Blandine,arret_tram_T2
2,4.824597,45.747144,Place des Archives,arret_tram_T2
3,4.826965,45.749554,Perrache,arret_tram_T2
4,4.836302,45.747056,Centre Berthelot – Sciences Po Lyon,arret_tram_T2
5,4.84253,45.746376,Jean-Macé,arret_tram_T2
6,4.846905,45.743679,Garibaldi – Berthelot,arret_tram_T2
7,4.851668,45.742142,Route de Vienne,arret_tram_T2
8,4.858749,45.739885,Jet d’Eau – Mendès-France,arret_tram_T2
9,4.863314,45.738423,Villon,arret_tram_T2
10,4.868215,45.736845,Bachut – Mairie du 8<sup>e</sup>,arret_tram_T2
11,4.874499,45.740199,Jean-XXIII – Maryse-Bastié,arret_tram_T2
12,4.878842,45.742938,Grange Blanche,arret_tram_T2
13,4.883927,45.741523,Ambroise-Paré,arret_tram_T2
14,4.893205,45.738853,Desgenettes,arret_tram_T2
15,4.89814,45.737228,Essarts – Iris,arret_tram_T2
16,4.904462,45.734931,Boutasse – Camille-Rousset,arret_tram_T2
17,4.909062,45.733411,Hôtel de Ville – Bron,arret_tram_T2
18,4.914727,45.731539,Les Alizés,arret_tram_T2
19,4.915666,45.727502,Rebufer,arret_tram_T2
20,4.915247,45.722095,Parilly – Université – Hippodrome,arret_tram_T2
21,4.918174,45.719625,Europe – Université,arret_tram_T2
22,4.925783,45.718392,Porte des Alpes,arret_tram_T2
23,4.931244,45.714381,Parc Technologique,arret_tram_T2
24,4.937586,45.708118,Hauts de Feuilly,arret_tram_T2
25,4.934916,45.703413,Salvador-Allende,arret_tram_T2
26,4.936104,45.699629,Alfred-de-Vigny,arret_tram_T2
27,4.936856,45.695061,Saint-Priest – Hôtel de Ville,arret_tram_T2
28,4.940622,45.694491,Esplanade des Arts,arret_tram_T2
29,4.946832,45.694734,Jules-Ferry,arret_tram_T2
30,4.94973,45.693662,Cordière,arret_tram_T2
31,4.95579,45.692661,Saint-Priest – Bel Air,arret_tram_T2
